,Ratings,Title,Content
7,5.0 out of 5 stars,Wasn’t sure but,"







  
  
    So glad that I went with it, I read all the reviews and decided well I’ll go with it,Glad I did, I thought due to the price that they were going to,be some apple reject but no!And the battery is superb cause the last one I owned (not Apple) the batteries would die in 20 minutes, yes 20 minutes however I didn’t get them from Amazon bUt purchased on FB so just l buy the originals cause you end up spending and loosing at the endTry them
  
"
8,5.0 out of 5 stars,Like better than new 3rd generation airports and AirPods Pro,"







  
  
    They are easier to use and stay in ear better than the AirPods Pro and 3rs gen.  Sound is just as good.  Only thing I miss is noise cancellation and the ability to click on AirPods to start and stop the song.  Full disclosure I own AirPods Pro as well and used to have 3rd Gen that I tried and returned.  True you can double tap the 2nd Gen to stop start sound but the click on newer are better. Other than that I prefer these.
  
"
9,5.0 out of 5 stars,Work great/User-friendly/Quality sound,"







  
  
    I love these Airpods! I like that they're easy to use. If you take one pod out, it automatically pauses the music which is really cool. They automatically connect when you put them in your ear and automatically disconnect when you put them in the case. easy to charge, same charger cord as the iPhone uses. I didn't want to get any earphones with that rubbery material because I feel like that is too difficult to clean and it catches more germs. So I prefer the plastic-y material ear phones. The sound is good quality. For me, it was worth the money. I tried quite a few off-brand, cheaper, wireless earnphones, but they were all crap. Airpods are the real deal
  
"
0,5.0 out of 5 stars,Fantastic Quality AirPods,"







  
  
    This is my first pair of AirPods. I love them. They are life-changing! The AirPods arrived in less than 24-hours of ordering. They were packaged in a sleek, white Apple AirPods box. I did not buy the ""noise-canceling"" AirPods, so I cannot rate that feature, but as far as the product appearance, sound quality, ease of use, great fit, easy to pair on Bluetooth, etc. I wholeheartedly give these AirPods 5 shiny gold starts.
  
"
1,5.0 out of 5 stars,On the Fence?,"







  
  
    I was on the fence for quite awhile about whether I needed these as I own everything Apple, but I held back and that was a mistake! Apple quality SHINES once again! Everything about these is exactly as you would expect from Apple, you really do get what you pay for! I am very pleased with the airpods, I am enjoying them as I write this review, the sound is absolutely excellent! I had zero issues setting them up with my Iphone. The quality in craftsmanship and quality is pure Apple, The sound is amazingly excellent! They are comfortable to wear. I have not tried any heavy duty physical activity with them on but I'm sure there are other reviews here that cover that. I waited too long! The price is reasonable for something that will give you many years of pleasure!
  
"
2,5.0 out of 5 stars,it's not all hype,"







  
  
    i bought this because i wanted to try a true wireless earphones for the first time. i wanted to avoid it at first since everybody seems to have it, but it is undeniable that it is one of the best in the market right now so i bought it. its pretty amazing. the sound quality is pretty good. it has a total of 10 hours battery life with the charging case. you can do touch commands on it and ask siri questions if youre connected to wifi or data. its slick and easy to charge and use. you can set up the touch commands in the iphone. you can check the battery life if you open the case near to the iphone. it can be connected with android but it does lose some of its function like siri. JUST DONT LOSE AN EARPHONE BECAUSE ITS EXPENSIVE LIKE CRAZY. TO BE SPECIFIC ITS 75 DOLLARS OR SO DEPENDING ON THE TAX.
  
"
3,5.0 out of 5 stars,AirPod gets the nod,"







  
  
    I picked these up at a slight discount.  I've been curious about AirPods for years now.  I was always discouraged by the steep price and so for the longest time, i settled for ""budget earbuds"".  My AirPods (second generation) arrived today and I don't typically rush onto Amazon to write a review but these things are spectacular.  I love the Siri integration, the customizable double tap feature, the crisp and clear audio when listening to everything from music to podcasts...even the charging case is a sleek looking device.  Pairing your Airpods to your iPhone, iPad, or any bluetooth device really, is a total breeze (but most especially when it comes to other iOS devices.
  
"
4,5.0 out of 5 stars,I use them everyday,"







  
  
    I have an iPhone and wanted a good pair of wireless headphones but without Apple's price. After trying about 6 different brands and returning them or just wasting money on them I decided to bite the bullet and just get the Air Pods, now I wish I did it sooner. They sound great, I like that I can just say Hey Siri to change the volume, and they are so useful. I use them daily when working by either listening to music when working on a project or talking to customers, I also use them when mowing the lawn or just running to the store. These do not noise canceling but they isolate the background noise well but not to the point where you cant hear around you. I am surprised on how long the battery actually lasts for such a small package, also the storage case/charger is great because if I am running low on power I just plug them in for 15 min or so and have enough power to take several more calls.I would recommend these to others and I am even going to buy a pair for my fiance to replace her off the wall wireless earbuds.
  
"
5,5.0 out of 5 stars,Great product,"







  
  
    These are genuine, confirmed the serial number with Apple.This is my second pair. After constant use for phone calls for 2 years the batteries in the AirPods were only lasting 30-40 minutes when used for phone calls.5-6 hours a day I talk on the phone using these and everyone says they can't even tell I'm on bluetooth which is an impressive feat considering how small they are.I hope this pair treats me as well as my first pair did.I highly recommend these if you are looking for a bluetooth headset for phone calls. The batteries dont last as long as some but you can keep swapping between using one at a time.
  
"
6,5.0 out of 5 stars,Pre-Christmas iPhone air buds function well during the holiday season,"







  
  
    Apple airpods were delivered a little later than the prime usual, but understandably so due to the pre-Christmas rush. They perform well and the sound is good. The only two considerations are that they don’t fit perfectly into my ear canals as each one is a bit differently shaped. Consequently the noise reduction and the sound quality would be better if they fit more snugly. That being said the Wi-Fi works seamlessly and is greatly improved over the directly wired EarPods I initially received with my Apple X plus phone. The other consideration is that they only hold a charge somewhere between four and five hours. So when I was out Christmas shopping all day one day, the audio faded out after four hours in one year and about 4 1/2 and the other. But I was grateful for those hours. So if these air buds remain functional for a year I may invest in the air Bud pros next Christmas.
  
"
7,5.0 out of 5 stars,Can't believe I waited to buy!!,"







  
  
    My original bluetooth, over the ear, hands-free device was starting to drop calls after having it for five years.  I was in the hunt for a new device and was debating on whether to purchase these.  I absolutely LOVE THEM!I was afraid that they would not stay in my ears, especially as I love to hike and do yoga.  I have had no issues with them staying in, even in upside down yoga positions.  They are very comfortable and the sound is amazing.  The battery life is extensive and if I need to charge the pods, I just pop then in the charger for 3 minutes and an able to get more life.There are only two negatives, in my opinion.  One, I cannot connect to more than one device at a time like I did with old bluetooth device.  This is a pain for me as I have a personal and work cell phone, so I have to make a choice to which device I will connect to.  Two, when I receive a call, I have to physically look at my phone or Apple watch to see who is calling and physically answer it.  My old bluetooth device would tell me who was calling and I could respond by saying ""answer"" or ""ignore.""  Even though these are big negatives for me, they are 100% worth every penny.  They were cheaper on Amazon than the Apple store and I did not have to leave my house to get them.
  
"
8,5.0 out of 5 stars,OVERALL BEST IN CLASS!,"







  
  
    I have to say that I just got these AirPods and I LOVE them! Just to state my bias upfront: I love Apple products, but I’m not an Apple fanboy. LolsPROS: The sound quality is fantastic. I have owned Bose and Jam ultra earbuds. These are on par with the Bode product. Though I have never owned the first generation of the AirPods. I like how easy it is to pair these with my iPhone. It was so quick and simple. The Bose and Jam were cumbersome at times, often I would have to unpair and repair them to get them working again. No such thing with the AirPods. I love the small container that stores and charges them. It just looks and feel nice in your hand too. The Bose were big and clunky and the Jam Ultra case was huge and made a bulge in my pocket.CONS: My negatives for the AirPods are small and very trivial. I wish that they were a little more snug in my ear. The Bose and Jam earbuds did fit more snugly in my ear hole. Also with the AirPods it doesn’t give me a battery level status at the top of my phone screen. See my uploaded picture. The Bose and Jam Ultra both had a battery level status bar next to the headphone icon at the top of my phone screen. With the AirPods I have to get the case and open it to get a status of the battery level. Very insignificant, but it is something.I love these AirPods and am extremely happy with them! I highly recommend these earbuds!
  
"
9,5.0 out of 5 stars,Expensive but worth the purcahse,"







  
  
    I bought these because I do a lot of off-the-floor shifts at my work, which means I can listen to my music while I work. I figured these would be much more convenient for this, so I caved and bought the airpods. And I gotta say, even though I personally do not care much for Apple, these things are fantastic. The sound quality is nearly perfect, great bass capabilities too, and they are honestly almost as good as the headset I use for my computer (Which is a corsair).My only gripe is with the battery life on them. They die pretty quickly. They didn't last a 5.5-hour shift on at my work from a full charge when I started. Granted, they charge very quickly with the case. Mine went from about 8% to 98% in 23 minutes (I did time the charge). They also appear to just drain even when not in use, not at a fast pace but still. So you'd have to keep them in the charging case when not in use and the case also needs to be charged as well, not that I wasn't expecting this side effect. Aside from this small inconvenience, I have not had any issues with these and I'm very impressed with the quality.They also fit as expected, don't fall out super easily, and are able to be used for phone calls better than the default mic my phone has.I must applaud Apple for this one, they did a great job. I highly recommend them and I have no doubt Apple will take advantage of the success and keep developing and improving them.
  
"
0,5.0 out of 5 stars,Still going strong,"







  
  
    I’m not exactly sure how long I’ve had these AirPods but it’s been a long time. If you take care of them they won’t let you down. The only problem I’ve had it sometimes it doesn’t detect that it’s in my ears and I have to take them out and cover the sensors with my fingers to force it. I haven’t lost any audio in either pod so it’s still going strong. The audio is clear and relatively good bass. For some people they can fall out easily but I’ve gone running and trail biking and it hasn’t fallen out once.
  
"
1,5.0 out of 5 stars,Air Pods stolen by fellow Airmen in Tech School. Sad.,"







  
  
    My son, who was attending his Air Force technical training left his AirPods Pro to use the restroom. Low and behold he comes back into the training room and they are gone. He was upset because they were a gift for his graduation. Also, because it showed his fellow airman who took them lacked INTEGRITY. SO, It made him think about what might happen on the battleground. Would this person have his back? I bought him another pair not as expensive as the original. He is grateful and loves these as well. He just really loves the AirPod Pros. I can save up to get them again one day. Thanks for listening. 😡😀
  
"
2,5.0 out of 5 stars,A Great Price for Wires No More!,"







  
  
    Lets face it these AirPods are by Apple so you know that they are excellent quality.  I absolutely LOVE them and after having them for just one day wonder how I managed without them.  For volume control either have Siri adjust the volume or do it manually.PRO  I love the fact that if an AirPod happens to fall from your ear the media that you were streaming will be paused until the AirPod is reinserted, very cool.  I also love that once inserted in ears an on screen charge status shows up, also very cool.  I bough a clear silicone case for the AirPods Charging case as 1- Its very small and slick so could easily fall from hands  2- Better protection in event of contact with water (rain).  For less than 150 USD you have these marvellous EarPods which is a fantastic buy IMO.CON  I suspect that these are Generation 1 AirPods as there is no LED charging indicator light on the front of the case. No biggie as to check charge status simply take out & reinsert in one ear & onscreen status appears. Another con is that there is absolutely no noise cancelling ability whatsoever.  It's just like using wired ear buds, unless you have a high volume (not recommended if you still want hearing after age 60) you will hear the surrounding noise.While the latest series of EarPods does offer the noise cancelling ability, you will pay for it accordingly.  I am quite happy with these EarPods and if you don't need the noise cancelling feature, I'm certain you will be too.
  
"
3,5.0 out of 5 stars,These are amazing!,"







  
  
    My husband surprised me and bought these for me on Prime Day.  I've never been a 'head phone' person, always preferred to listen to my music w/o an interface. I still don't like anything in my ears, but these are really terrific. My main focus is classical music which has been a life-long passion. Music sounds crystalline; bass is good, not gut shaking like my stereo system, but still fine; trebble is good as well.Now I've put apps for my favorite classical staions on my phone so I can listen to them sitting on my lanai. I can also listen to my old iPod which has so much of my favorites on it. Now when the Saturday opera matinee is playing, I can listen with my air pods. While my husband likes classical, he still hates opera!
  
"
4,5.0 out of 5 stars,"Exactly as Advertised -  Great Product and Service - Apple and Amazon, you've done it again!","







  
  
    I ordered the APPLE AirPods  with Charging Case (without noise cancelling feature) on a Saturday night along with one other item that I normally get. The orders arrived Monday afternoon (Labor Day) together in a sealed Amazon box on my doorstep, a day earlier than promised. These AirPods are the real Apple (made in Vietnam) product and came sealed in their APPLE certified packaging with warrantee papers (1 year) and instructions. I paired and tested the AirPods with both my iPhone and my Windows 10 PC - easy to figure out based on the instructions included. Great high fidelity sound quality and they are so comfortable, I forget about them. I walk most days while listening to NPR news radio or Amazon music. I also watch news and movies on my PC in my room on Apple wired earphones - but I think I'll switch to using the AirPods from now on. These are perfect for my needs. And they were offered at a reduced price on Amazon. Thank you, APPLE. Thank you, Amazon.
  
"
5,5.0 out of 5 stars,WOW,"







  
  
    Shame on me. I held off purchasing AirPods because I heard things like  ""they fall out of your ear easily,"" ""the battery does not last more than a couple of hours,"" and you have to recharge often,"" once again shame on me. I tried many of the off brands to save money but did not work well, the sound quality was poor, and some of the batteries only lasted an hour. I saw the special on Amazon for the AirPods and I bit the bullet and bought them,  and I found that everything I had heard was incorrect. I am an apple forever customer for a reason. The sound quality is amazing and I cannot tell they are in my ears at all. I wear mine for workouts, work, running, and when I am in my car. They stay in my ears for 12 to 13 hours out of the day. I do not recharge during the day and only recharge the case once every 3 days WOW is all I have to say.
  
"
6,5.0 out of 5 stars,Sound great and work perfect so far.,"







  
  
    First of all, they’re legit & REAL AirPods -I got sold a pair of pretty real looking knock offs from a cell phone store in PERSON, so don’t be like me and be naive, there’s a tonnnn of people out there selling knock offs that look very similar... I verified the serial numbers on these through Apples website and all came back just fine.It should be noted these are NOT the wireless charging ones, however. I made a mistake and overlooked this in the description as some others have also, but I’m not bothered by it at all really.Worth investing in the 2 year Apple Care plan for the additional $29 or $30... if you’re already dropping $120 on a pair of headphones, may as well invest in the coverage... esp in my case, I can see accidentally misplacing one or something lol.Overall, very happy with this product and received within one day. They sound great and definitely worth the money.
  
"
7,5.0 out of 5 stars,"YES THEY ARE 1st GEN, but they are still great!","







  
  
    I bought these to use at work instead of my over the ear beats because wearing those huge headphones isn’t a great look at work. I wasn’t expecting them to sound amazing, but the sound quality is comparable to my beats that were 3x the price. They are definitely by apple; I’ve watched enough YouTube videos to be able to spot fakes. Mine are definitely 1st gen. This is how you can tell:If the picture on the back of the box includes the charger, it is 1st gen. The 2nd gen AirPod box doesn’t feature a picture of the charging cable on the back; all you’d see are the AirPods in their case. The 2nd gen case also has a tiny little dot on the front, a light that turns on when the case is charging wirelessly. The 1st gen case does not have that feature, so, of course, there’s no light on the front.But seriously, that’s the only feature you’re missing out on, other than maybe some better sound quality that you won’t really miss unless you’ve used 2nd gens before. Again, these are really great.
  
"
8,5.0 out of 5 stars,I highly recommend because it’s so easy,"







  
  
    AirPods are great. These do not have noise cancellation and there are definitely headphones with better sound quality but the ease of use and battery is unmatched. These connect to just about everything and it is so easy to just carry around and pull them out when you need. I use them with my tv, phone, iPad.... I bought one for everyone in my family from Black Friday and we all have been loving them these past months.  They automatically connect to my phone but if I need I can easily switch to my iPad and laptop within seconds. It’s also great that two different AirPods can connect to one phone like if my gf and I want to listen to the same music. The battery life is a couple hours long and you can fully charge them in the case for less than 20 min. They last more than a day so all you have to do is remember to charge the case every couple days. My only personal problem with them is the case is so small. You definitely need a rubber cover or something because its  slippery.
  
"
9,5.0 out of 5 stars,Overall fantastic,"







  
  
    I bought these mainly for calls. The sound quality is great and they’re very convenient.  I might wear them a could hours in a row for calls and not even notice. The charge lasts for hours.I wear them to listen to music while flying as well. They’re not noise canceling but suit my purposes just fine.  I don't hear normal cabin noises while wearing them.However, they don’t stay in my ears as well as some people report.  I couldn’t use these while being active for instance. I’ve already chased one that fell out and rolled down a plane aisle.
  
"
0,5.0 out of 5 stars,very light headset with rock solid sound quality!!,"







  
  
    Although I am huge Apple fan, I was initially skeptical about buying Apple AirPods. I already had a different brand bluetooth headset (which was so-so) and for some reason I didn't have high expectations of AirPods. But these AirPods really beat my expectations. They are light, easily chargeable and have solid sound quality. I mainly use it for business calls from iPhone, and this is just magic! Crystal clear quality, like snowflakes in my ears. I wish I got them earlier!! The only drawback is a bit weird way to check case charge level. You need to open the case in proximity to your iPhone with AirPods in. I find this strange, I wish there was easier and more streamlined way to check it. At any rate, this is a great product and I do recommend it to Apple fans!
  
"
1,5.0 out of 5 stars,Really awesome product if you're investing in apple world,"







  
  
    Let me start with I just switched to the apple world within the last six months. Macbook and iphone after years of fighting it. That aside, these things are amazing and work seamlessly when going back and forth between macbook, iphone, car, etc. I have been using them for work not that I WFH as a teacher and then enjoy them in the afternoons as well. Definitely invest in a case right away, I've heard complaints of the case opening up too easily without one plus there are a bunch of fun cases you can get. When the charging case is charged these guys charge up in 20 minutes no problem from completely dead. If you don't have apple products I wouldn't spend the money, but the seamless ability to go between all of your apple stuff is 200% worth it if you are already invested and the sound quality is great.
  
"
2,5.0 out of 5 stars,Fashion Icon,"







  
  
    Airpods were one of the first earphones to come out that normalized talking to yourself in public. It use to be something that only those guys on wall street do but now, every body does it. Enter COVID, these are a lifesaver. I'm tired on signing on Zoom and not being able to hear people properly so I put on these wired headphones but the cords are all tangled up so I'm leaning over my laptop asking the group to give me a minute while I try to effortlessly untangle myself. In the end, I'm frustrated and given up on untangling so I'm hover a few inches above my laptop because that's the amount of wire I'm able to untangle.Look, there are cheaper ones out there that gets the job done for a fraction of the price if you're willing to ease up on the quality in both build and audio. If that's you, go for it. If you want decent audio, build that can last being stepped on a few times, and battery life that can last the work day then this is the one for you. I have no issues with Airpods thus far and can see myself using it for years to come.
  
"
3,5.0 out of 5 stars,Highly recommend! Don’t listen to bad reviews,"







  
  
    I don’t understand why there are so many negative reviews. My husband bought me the same pair that I bought my dad and we love them! I did buy them when they were more expensive so that sucks but I love how if one falls out your music stops playing, you can listen to music, take phone calls, listen to notifications and so forth. The charging case works great. I usually use them at work for a couple hours listening to podcasts and music. You don’t have to charge it all the time which I like as well. I highly recommend this product! Excellent price now and I would buy them again for others!
  
"
4,5.0 out of 5 stars,Love apple products,"







  
  
    Love the headset. I do not care for those that plug into my ear canal so these are so much better and comfortable to me. The sound it great.There is an occasional issue with the connection to my phone which means that I have to put them back in the case and take them back out to reset the connection and that seems to work very well.  I have even used them as the microphone to record video.  I love the set an use them so much I have to remember to charge them when not in use.  I believe it takes at least 3 - 5 hours on a call or listening to music or podcasts.Great product and I truly hope Apple does not stop making them incase I do need to replace them at some time.  I do not like the newer version as I said before.  I really do not like any headsets that plug into my ear canal.Great product and Highly recommended.
  
"
5,5.0 out of 5 stars,Just because its apple doesnt mean its always the best,"







  
  
    Overall the airpods are ok, but they're very expensive when you could easily spend the money elsewhere and get somewhat similar quality bluetooth headphones. Not always does the battery life display on your phone or device sometimes i have to open and close the case a few times for the phone and or ipad to be able to see my device. It doesnt always connect either, thats another thing I dont like about these things. Also they can fall out easily from your ears and thats really ridiculous when you're already paying a premium price for the things. I have a pair of Bluetooth tenergy headphones that are water proof and bluetooth and do not fall out of my ears whatsoever because they have these black arms that wrap around the backs of your ears. They only costed me like $30 bucks and here im spending much more and they dont even stay in my ears at all.
  
"
6,5.0 out of 5 stars,InstantConnectivity,"







  
  
    Music is my game, and I love to listen to my favorite music on a high noise level. No worries about bothering the neighbors, now. I purchased these from Amazon at a one time discount, a little nervous that I would not receive the quality. No worries, noise cancellation, perfect, quality of sound, excellent, ease of use , very easy.These arrived in a tight pa kati g as all of App'e products do. Once I got in and read the directions, it was very easy. The pods were at different levels of battery life,so I plugged them in. Both at 100% within a short period of time. The bBluetooth was turned on, instantly the ear pics were connected. I put them in my ears, and started listening to the new Rufus Wainwright’s CD, ‘Unfollw The Rules’. Beautiful music and Rufus’s voice came through. I am quite happy with these ear pods.Recommended. prisrob 07-31-2020
  
"
7,5.0 out of 5 stars,Works Great,"







  
  
    I love this product and I use it every day.  For work I answer phone calls and I am very happy with the quality of both the sound I hear and the clarity of my voice to the people I talk to.  I often listen to audible books on tape while walking or running and it is very easy to use.  I prefer these to the more expensive product offered by Apple because it does not cancel all the external sound.  I think it is safer to be able to hear adequately the sounds around you.  Especially when exercising out side.  Your hearing can save your life from unexpected hazards like cars or bikes coming down the road.  The sound quality is excellent.
  
"
8,5.0 out of 5 stars,Left headphone does work! Just adjust audio,"







  
  
    This an an authentic beautiful pair of AirPods with excellent sound quality. I’m very active and run about 4x a week. These stay in my ears during my entire run. With that said I did have issues with the left headphone not working immediately upon opening and using. This seems to be a common issue among many users according to the reviews. I watched every YT tutorial and read several troubleshooting articles. I reset my AirPods and disconnected them from Bluetooth several times to no avail. I was just about to ship these back to Amazon, until I finally came across an article that helped solve the issue. The audio balance needs to be adjusted. Follow the steps in the photo I have attached and that should hopefully solve your issue. I’m leaving this review to hopefully help those who may have future issue with these headphones upon arrival. Hope this review helps.
  
"
9,5.0 out of 5 stars,Even as a PC person I enjoyed these.,"







  
  
    Let me start by saying I don’t like apple products typically and I think their marketing, product cycles and etc are not great.My feelings on the company aside, this product is genuinely very good. It has a long battery life, the charging case is well made and the earbuds click in and top closes with magnets so they don’t fall out or get lost easily. The case also serves as a portable battery pack for the headphones and it can be recharged with a standard iPhone charger. The headphones detects when you pull them out of your ears and pauses whatever you’re listening to and restarts when you put them back in and automatically connects to your phone. The noise cancelation isn’t so much I feature I look for but at medium to louder volumes you can’t hear things around you but at quiter volumes you can hear everything around you if that makes any difference. I normally don’t like iPhone headphones in general because they’re a bit big and don’t fit comfortably but these fit perfectly plus they’re small and inconspicuous.I bought a ton of other headphones but they all died, broke or were a pain to connect or charge.These headphones were overly expensive but they are better in every way and I fully recommend them.
  
"
0,5.0 out of 5 stars,"Amazing sound, super comfortable, fast charge","







  
  
    I was really hesitant on paying this much for ear buds but after considering I've spent more than this on cheap ones that aren't good I went through with it and I'm quite pleased. They are tapered so no need for those unbelievably uncomfortable rubber pieces other ear buds have. They are incredibly comfortable. I can wear them all day and never miss a beat, versus the thirty minutes tops those ones with rubber pieces that hurt my ears. They connect almost instantly, no need to try to pair them or anything like that. They sound fantastic and have a surprising amount of bass. I work construction and I can hear them over the noise at work. They last a good four hours and fully charge in 15 minutes.
  
"
1,5.0 out of 5 stars,Must have for parents of babies,"







  
  
    Babies are really really boring. if you find yourself in a situation where you have to be around one for long periods of time you need these. I was wearing the wired ones and the baby would just pull them out of my ears and suck on them. Now he has no idea I'm even wearing them. I can listen to full podcasts AND sing The wheels on the bus go round and round hundreds of times. The key is to cover them with your hair and only wear one at a time. I also love these for listening to sleep stories when you can't sleep at night. I used to wake up tangled in the wires.
  
"
2,5.0 out of 5 stars,Apple is supreme,"







  
  
    It’s 2020, you should know by now that everything Apple is dependable and innovative. You have to own a pair to realize all the small and convenient features that Apple packs into their AirPods. Without going into the settings menu your AirPods are automatically synced just by holding them next to your iPhone. They stop playing music the second you remove them from your ears, you can customize minor commands with the double tap feature. In earphone usually drop out of my ears constantly but these stay in. The wired earphones that came with my IPhone 11s could not stay in my ears. I do have to admit that I wish these AirPods had a little more bass and were 10% louder, but with all the other features and conveniences added together these AirPods are still worth 5 stars.
  
"
3,5.0 out of 5 stars,Hear here,"







  
  
    This hear contraptions are white in color, this hear are put on your sound receptacles for listing to sounds. You could here better sounds when the volume is up and here less when volume down. Get your grandkids to beep bop and boop them to you multicellular device, but be careful because I here it gives you blueteeth when you connect without wires, oh it doesn’t contain wires except to charge and recharge and recharge and recharge ever time you need to use the air bud...I just loved that movie, the dog played basketballs and helped the team win, such a feel good movie. Oh I think you don’t need them fancy wires to charge your charge or recharge and recharge your air buds...the dog wore 23, and jumped and booped the balls with its nose. It uses a technology that was created in the mid 80’s to charge, its called Quiff, or Chi, or Tai-chi, but it’s spelled Qi (good luck trying to say it), however that there is a fancy case and it comes at a premium, I think the average cost of rent in low income places around town. Anywho. I see the guys and gals or guygals all over town wearing and harring these things, and just think they are lovely. You can have them in any color you want as long as its in white, this seems to be a identifier with Sir Issac Newton’s company. You would think with all those colors in the rainbow they would make snazzy fun colors that people could identify with. I done here they are making a Pro version, maybe Pro is sort for professional and tailored to professionals only, so usens can’t get them, unless you want to mortgage your living establishments. One last thing...you can voice control this air buds...I don’t recall if the dog dribbled the balls, because it has no opposable thumbs, and if it did I think the ref would’ve called travel or double drool-ble. Hahahaha hahaha!!! The servant lady is named Siri and she has to do what you tell her to do, just make sure you yell “Hey Siri” to listen to your commands.
  
"
4,5.0 out of 5 stars,A is for.... Another Awesome Apple product!,"







  
  
    I absolutely love these Apple AirPods. I have wanted some since the first generation and finally got a good deal on these on Black Friday. They are amazing and although I lost one for a couple hours, I would totally recommend them. I use one in my ear at all times and especially when I’m driving. The noise cancellation is awesome and I can hear everything even with just one airpod in. There especially good with driving because our state is hands-free now, so I don’t have to be afraid of getting a ticket or whatever for Driving and talking on my cell phone. Before I got these, I had two or three different cheap sets that I got for about 20 bucks each and every single time they broke. These have not broken it all and like I said even though I lost one for a little while, I was able to track it and find it with the find my iPhone app. They hooked up to my phone super easily literally I open my iPhone and then open the AirPods case and a little thing popped up on my phone automatically that showed it the battery life of these AirPods and connected them to my phone. It was very easy to do I never had to go to Bluetooth and do anything fancy I did it automatically on my iPhone. Totally worth the price in a really great buy and I’m very happy that I got them! Before I got these, I had two or three different cheap sets that I got for about 20 bucks each and every single time they broke. These have not broken it all and like I said even though I lost one for a little while, I was able to track it and find it with the find my iPhone app. They hooked up to my phone super easily literally I open my iPhone and then open the AirPods case and a little thing popped up on my phone automatically that showed it the battery life of these AirPods and connected them to my phone. It was very easy to do I never had to go to Bluetooth and do anything fancy I did it automatically on my iPhone. Totally worth the price in a really great guy and I’m very happy that I got them! You can get little cases for them to protect the charging case which I recommend, and you can also get a little cord that you can attach to both of them so that they stay together in your ears and if your ears are too small you can get little adjustments that go over them to make them fit better too!
  
"
5,5.0 out of 5 stars,Great Apple product. Spend the big bucks or don't do it at all.,"







  
  
    Good sound, they fit in the ears and do NOT fall out like corded buds. The sound is good, but don't expect audiophile level sound. You can't expect any better than this from tiny little ear buds. But the essential element to these are the freedom to walk away from your source with NO wires, nothing. The freedom is the charm here. That and the apple name make this worth the investment. Sometimes I use these, and other times for real music listening I use full size headphones. But for videos, non serious music listening and whatever else, these are great. I would say it's better to spend the extra money and get the good stuff, than spend twenty or thirty bucks on some unknown product. Expensive, but as all else in life you either buy the real deal or you buy some cheap substitutes. Ain't worth it....It paired effortlessly with my iPhone seven and my older iPad four.I recommend genuine apple products.
  
"
6,5.0 out of 5 stars,Apple Care is a must!!,"







  
  
    I love my AirPods. Prior to purchase, I thought it was a total waste of hard earned money and I would not buy them! Until I kept losing/breaking my earbuds or headphones. Then I made the switch. I am happy to report that I have had my Airpods for almost one year and I am just as in love today as I was a year ago. They are lightweight, super convenient and functional, and I can't seem to live without them. I recommend looking into Apple Care for any and all Apple products that you are considering to buy. That way, in the event something happens to the item, Apple will replace it for you with little to no questions asked. I use these to work out, while I'm at work listening to whatever, or when I'm on the phone. The item arrived within two days and the packaging was discreet and left in a secure location on my property.
  
"
7,5.0 out of 5 stars,The best!,"







  
  
    I held off purchasing these due to their cost.  I tried other knock off brands but now that I have the real ones, I understand what all the hype is about.  They fit perfectly in your ear.  They pair seamlessly with multiple devices.  They hold a charge.  These are the bomb and well worth the premium price.  The noise cancelling is OK but they really don't advertise that they are noise cancelling so I didn't purchase them with that in mind.  I am amazed that they rarely fall out of my ear so I really don't worry about losing them.  Just put them in the case when not in use - not in your pocket, not on your counter, not in your drink holder...you get the picture.  That will only lead to a lost earbud and frustration!  They are great and well worth the price!
  
"
8,5.0 out of 5 stars,Too many knock-offs that don’t compare!,"







  
  
    We tried at least 4-5 different “knock-off” versions of the real deal air pods. They all had some of the features and functions but nothing beat the real deal. Should have saved the money and just gone with these in the first place. They are super easy to pair, to use and not fussy at all. We use them for working out, running, talking on the phone and just always have them. The battery life is excellent and overall, I wish I would have just spent the money on the real ones from the beginning — would have saved me a lot in the long run.
  
"
9,5.0 out of 5 stars,Very user friendly,"







  
  
    I have gone through several brands of true wireless ear buds. There are some with super stereo sound and long battery life but such on phone calls because they pick up every noise within 100 feet.After experiencing that, I have found that Apple air buds are the best!! Battery life isn’t super long but there are so many other features that compensate for that. Ease of connection, automatic shut off when removed from your ears..etc. I could go on and on but really don’t have the time. I will end with this though. Apple air pods are a superior product and I still can’t believe how much I enjoy them. Don’t be fooled by imitations and knock offs.I regret having waited so long to purchase mine
  
"
0,5.0 out of 5 stars,Still the Best,"







  
  
    I hate holding a phone to my head.  The radio waves are doubtlessly bad for us, and it takes away the ability to do anything else needing two hands while I talk on the phone.  Thus, I was wired until Bluetooth came out, and mostly disappointed until AirPods showed up.  I bought the original AirPods when they came out, and an inexpensive tether so I had ready access to them when a call came in.  After more than two years, I somehow lost one of the AirPods and while researching the cost of buying just one, decided to buy Gen 2 instead.  I'm not an audiophile, but the sound quality for calls, music, podcasts and books, is actually quite good.  As good as my noise canceling Sonys that cost twice as much...uh, no.  As good as they need to be to keep me happy?  Yes.
  
"
